tid,text,keyphrases
925833340145381376,you mess with plenty nigha sorry baby i aint that fuck around and chase yo fast ass n have a asthma attack,"asthma attack,fast ass,plenty nigha sorry baby i aint that fuck"
924521821843742720,Fully convinced that my cat has asthma :/,fully convinced that my cat has asthma
925010136313106433,Currently getting out played by asthma irl,asthma irl
924446236077203456,asthma nooo,
927583855783096322,Having a sinus headache for most of my day so far has not been fun! I hope everyone else has a fantastic Monday though!,"everyone else has a fantastic monday,sinus headache"
927298873931988997,confections on steroids,confections on steroids
922962434914226178,RT @MyPotnaB: And who get cold RT @Pattric: And who are ticklish RT @ToeKnee2GX: And allergies RT @SOruthless_305: Men with asthma are fagg,
925904378212618242,Tis the season for my asthma to return with vengeance #Winter #IndoorDryHeat,season for my asthma to return with vengeance
927038786382557184,RT @MrAliAdel: This isn't gonna mean a thing when they pop GSP for steroids next week lol #UFC217,thing when they pop gsp for steroids next week
926934570368462850,story time: a gif gave me an asthma attack?! https://t.co/rLgT7YTPWk,"asthma attack,story time"
926511311701401605,"RT ForksOverKnives ""How a #plantbased diet reversed his asthma &amp; eczema: https://t.co/U6c9zlAdlM #vegan https://t.co/VP2tG6N71C""",
925481759575244801,adult onset of asthma https://t.co/ijVI4gMsZU,adult onset of asthma
925953675377434624,AstraZeneca's experimental drug tralokinumab fails two late-stage asthma studies! https://t.co/paJhHicHzi,astrazeneca's experimental drug tralokinumab fails two late-stage asthma studies
927024348841627648,This shit is like Scooby Doo on steroids #StrangerThings2,shit is like scooby doo on steroids
926785227216715779,Nonstop sneezing shits,nonstop sneezing shits
927632071065063425,"My asthma pisses me off so much. Every time I start to improve my running endurance, my troubled breathing sets me back. #fuckoff ","improve my running endurance,troubled breathing"
927113317214285824,"@DuchessStoHelit Sneezing after nasal and sinus surgery, which is what I did the other day. Blood bath! ","blood bath,nasal and sinus surgery,other day"
927096353003659265,Same as fuck. I've been wanting to know if I still got asthma https://t.co/U9m25I6LTV,same as fuck
926331062262800384,@NEETAS11 @mukeshmukeshs I am suffering from asthma from 26y I hadn't option to leave India bcz every where in Indi https://t.co/8lQrMOtFum,asthma from 26y i hadn't option to leave india bcz every where in indi
925530516497096704,asthma attack laughing,asthma attack laughing
926164842779734017,@rantramblepod @ForTheirVoice Half the state of Nebraska is open vats of pig waste and residents have asthma from i https://t.co/PSj5uB8XfS,state of nebraska is open vats of pig waste and residents have asthma
923880047290830849,"Considered telling my family im not straight(I'm Bi), thought of possible outcomes...I have asthma now.",possible outcomes
925756861957201920,"What to do in an asthma attack, including how to spot the warning signs and having a personal action plan: https://t.co/LoW0IPOkB2","asthma attack,personal action,warning signs and having"
926745127325802496,Take your nebulizer anytime and anywhere. Enjoy breathing free. https://t.co/6jhObjiaXO,
926510069109395456,The black preachers that sound like they are having an asthma attack when they wrapping it up  so real @Wm40A @PhenomBlak,"asthma attack when they wrapping,black preachers"
927574464807800832,@R3NDA7 @Shindledecker54 Well someone is on steroids,
926598212168716288,RT @WellnessTipero: Purchase an air purifier to eliminate many allergy and asthma symptoms. #allergy https://t.co/OKcSr64Jnv https://t.co/t,air purifier to eliminate many allergy and asthma symptoms
927171503581515776,RT @MiamiNewTimes: Studies have shown that performance-enhancing anabolic steroids can cause adverse health side effects to greyhounds. htt,"anabolic steroids can cause adverse health side effects to greyhounds,studies have shown that performance-enhancing"
926744014660997120,"RT @healhistamine: Here's four high histamine foods that can trigger allergy-like symptoms, and reasons why they're not a part of my... htt","high histamine foods that can trigger allergy-like symptoms,reasons why they're not a part"
925166765025386496,RT @dlanniebrown: Had my first ever asthma attack today. Crazy!!!,first ever asthma attack today
927173752265347072,My neck hurt from sneezing so bad I can't even sleep right..I been up since 5am struggling,"5am struggling,neck hurt from sneezing"
927596711186399233,Does Plexus work? Check out Roberts testimony! Enjoying great health no migraines or sinus infections!! https://t.co/HoYCMg2ax7,"great health no migraines or sinus infections,plexus work,roberts testimony"
925563384115990528,Louis is not at sprinkles. I just ran 18 blocks with asthma to find this out.,blocks with asthma
924566571737141248,"Due to my cold/the weather change, my asthma has been off the charts and horrifying. Prayer would be much appreciated","charts and horrifying,weather change"
927367291322462208,casually having an asthma attack in the stairwell lolol,asthma attack
925755247015886848,"@KeefJudge A bigger fuck than I first thought - I'll get my coat 
My annual asthma appointment is a waste of their https://t.co/rgsXk4IzOh",coat my annual asthma appointment
927325210864504833,Why are anabolic steroids illegal - Why is Their Use Prohibited https://t.co/9wgOFf2ioK,"anabolic steroids,use prohibited"
924852046930554880,On that asthma grind ya feel https://t.co/S8tiKUTvFJ,
927225838315212800,I think all the steroids have weakened his brain. Bushes were worst leaders of all time. Political globalist when w https://t.co/2tUGl7ZkR6,"bushes were worst leaders of all time,steroids have weakened his brain"
926637972132315136,No sleep + fever + asthma + allergy hehe. But I gots to work bc so many oders grr.,many oders
925644383570890753,I think my dog just had an asthma attack help,asthma attack
923913876973928448,"you guys I scored an inhaler last night free of charge. no doctor visit, nothing. 
I'm so happy :)) no more 4 hour long asthma attacks ","inhaler last night,more 4 hour long asthma attacks"
925117531647553541,scorpios make me need an inhaler and i dont even have fucking asthma,fucking asthma
925768637993984000,been struggling with asthma for days now ,struggling with asthma for days
925452009842577408,Understanding the mecanism of asthma and the solutions to cure it WATCH VIDEO -&gt; https://t.co/8sfxBItihZ https://t.co/wBfu5QtXnC,mecanism of asthma
927208525595492352,Steroid-sparing agents are exciting! Mepolizumab improves clinical outcomes and  steroids in EGPA. Still hard to https://t.co/mYsdgU9sHA,"steroid-sparing agents are exciting,steroids in egpa"
927548434965508097,"Upsetting realizations: I've been awake for 6 hours already and it's not even 10

Also cool cool cool cough and sinus headache","awake for 6 hours,cool cool cool cough and sinus headache"
924313756192010240,@InfiniteRaiders How is the smog out there? I remember in Pak SQ could barely breathe with his asthma,
925901465624940549,Fin fact: Weezer got it's name because Rivers Cuomo has asthma and was teased about it when he was a kid ,"fin fact,name because rivers cuomo has asthma"
922735139528036352,Jerusalem cannabis guru to study effect of weed on asthma https://t.co/zGkZaioVmH,jerusalem cannabis guru to study effect
926076045547261952,"Tre melvin? Is it your turn? 

Qoukd u like to make some ""wise crack"" on my supposed asthma or unmatched clothing, https://t.co/ovPdvmlbDJ","supposed asthma or unmatched clothing,tre melvin"
926280921271160833,"I can't fix my asthma by doing five minutes of stretches, but I can keep my body limber and my muscles functional. It does help.","five minutes of stretches,fix my asthma,muscles functional"
924642220359278592,"RT @verronicaelena: my asthma is very bad atm and cant breathe so if i die in my sleep, know i wanted it that way hehe",asthma is very bad atm
925230272601317376,This weather stresses me out w this asthma,weather stresses
927404643507953664,RT @allie989898: I started having a random asthma attack in church today and I think it was a subliminal message that I need to get my life,"random asthma attack in church today,subliminal message"
927424639919316992,RT @RocheStrategies: @JordanChariton @HillaryClinton @SenSanders Their argument is like arguing steroids in sports don't matter because ,argument is like arguing steroids in sports
926839836090171392,why do i keep sneezing,
924746358237495296,RT @Aidan_Jeffery: If the brother takes you on a date &amp; suddenly changes to his husky voice...cast the brothers asthma attack out Ps @At,"brothers asthma attack,suddenly changes to his husky voice"
927464278696779776,@Hope #hopeepilepsybracelet be brave breast cancer epilepsy asthma Hope Ribbon Bracelet wholesale bulk  https://t.co/bQU8Uj2rCH via @eBay,hopeepilepsybracelet be brave breast cancer epilepsy asthma hope ribbon bracelet wholesale bulk
926130659135053825,Obese children may have more asthma complications https://t.co/D6OytynDky,obese children may have more asthma complications
927044130584264704,@JonnyBones Take these 4 yrs off to hop on even more steroids (untested) &amp; come back like GSP did. Just dont spend https://t.co/5ELJPErxQO,more steroids
923777117518675968,".@DrSarahDalton talks about the need rethink x-rays for diagnosing bronchiolitis, asthma &amp; non-specific abdominal p https://t.co/lyOqQJZ72v","non-specific abdominal,x-rays for diagnosing bronchiolitis"
926905606761533440,@The_Vonnster No sick lol I keep sneezing,sick lol i keep sneezing
927340016778600448,@ericgarland DB would have tossed out FDR and JFK? HRC battles pneumonia and Donna Brazile thinks about replacing h https://t.co/KJzRs3owXs,"brazile thinks about replacing,fdr and jfk,hrc battles pneumonia"
922899165721407489,This heat has me on full asthma attack mode,full asthma attack mode
924781128439025664,@Galactic_Jax @kyblsnbits I don't think that's how asthma works xD,asthma works
925908029694005249,why is my asthma acting up ,asthma acting
927592109171003393,They being patients and colleagues at work !!! Although I cant wine  as Im on antibiotics due to a sinus infecti https://t.co/axukyySLdI,"patients and colleagues at work,sinus infecti"
925119333235171328,@getnsentimental Ninten has asthma,ninten has asthma
924397412168486913,My bby has asthma and it sucks when he has an episode at night it's honestly the scariest thing to me,"bby has asthma,episode at night,scariest thing"
925597088733425664,I heard of a guy who died of a sudden asthma attack,sudden asthma attack
927241019049041921,They will say we are attacking Conte. See am now. Changed formation and Morata was playing as if he was on steroids,changed formation and morata was playing
926631895105810432,"
I mean, really, how is such a thing possible???  (and that person should research childhood asthma in central CA) https://t.co/gZq31khVBl","person should research childhood asthma in central,such a thing"
927511063003885568,@GaelleFarah1 my mom has asthma ,mom has asthma
925898068490321920,Then I had a panic attack pls asthma attack the other day. Like worse feeling ever ,"panic attack pls asthma attack the other day,worse feeling"
922918855315353600,@DeadZombie_girl Hope he feels better soon. I have asthma too. It sux,
927595832639131648,Being an only born has its cons though ey....the IDGAF attitude be on steroids eish....I feel bad sometimes,"bad sometimes,idgaf attitude,only born has its cons,steroids eish"
926807668471107584,RT @iamgreekdiva: @catskilldelta1 @WakeUpCanada1 @TorontoStar I'm Canadian and support Trump ..we have Obama White on steroids pretty ,"canadian and support trump,white on steroids"
925648814064750593,"The flu jab is free if you have asthma which requires an inhaled or tablet steroid treatment, or has led to hospita https://t.co/dS4RehYYEz","flu jab,inhaled or tablet steroid treatment"
925462959249174528,Pollution takes heavy toll on Bay Area children with asthma  The Mercury News https://t.co/1jLW5q2EnH,pollution takes heavy toll on bay area children
924034675345121281,"Anti-science @theAGU climate scam propaganda tries to sell CO2-induced asthma and ""mental health implications"" https://t.co/MjQbTzF1Iv","mental health implications,propaganda tries to sell co2-induced asthma"
927597331498889217,Last night I had a dream I took a bunch of steroids and cut off all my hair,"bunch of steroids and cut off all my hair,last night"
927443499921928192,Daisuke Murakami pulls out of NHK Trophy with pneumonia https://t.co/1dkyFbv04x,daisuke murakami pulls out of nhk trophy with pneumonia
924670626668802048,also also me: I carry a mask bc sometimes even small amounts of fragrance or chemicals gives me a headache and asthma attacks.,"headache and asthma attacks,small amounts of fragrance or chemicals"
926627011283619842,@Momof3gngrs @rjsmith169 @Pamela_O_Plays @auxwit AFAIK asthma is still an auto fail. If you develop it after youre https://t.co/cdJwMOuiOk,"afaik asthma,auto fail"
927476444321796096,#Virginia go out &amp; vote. Dems unite and defeat this Southern Strategy on steroids GOP.  #VAGov #GOPHypocrisy https://t.co/HFhsc9tgpY,dems unite and defeat this southern strategy on steroids gop
926108952957538305,When you find out the reason your asthma isnt getting better is because your inhalers were out of date ,reason your asthma isnt getting
924646575535636481,...and suddenly i have asthma https://t.co/h2f1uibv91,suddenly i have asthma
923741832110014465,@Sweet_Nessss My asthma,
924487824480534529,Damn near had an asthma attack at PV in that air. Glad I made it home to this medicine in time tho.,"asthma attack,home to this medicine in time"
927017933976502277,Why pneumonia kills more children in Nigeria than in any other country in Africa  Expert https://t.co/2QitQuwrVX,pneumonia kills more children in nigeria than in any other country
923927532168196097,"Staten Island teen dies from asthma fleeing racist crew waving gun; Im gonna shoot you, n-----! -... https://t.co/3RHZA5hF2r",staten island teen dies from asthma fleeing racist crew waving gun
927238330537914369,@DiMurphyMN Unprovoked asthma attacks due to elevated particulates in the air are good for the economy. Heres a st https://t.co/z6VMeUWovk,"good for the economy,unprovoked asthma attacks due"
927070477075525632,Complaint that kids' study on vitamin D and asthma is 'unethical' leads to changes https://t.co/7r75UM5WIS,"asthma is 'unethical' leads to changes,kids' study on vitamin"
925135330096840704,RT @NoMoreAsthma: Efforts against asthma to decrease dust mites have been found to be ineffective.,efforts against asthma to decrease dust mites
926972125210202112,"Sir stop with the steroids your brain is melting
https://t.co/xSmKmS63A5",sir stop with the steroids your brain
927675715109101568,"CPS special ed rule like hospital rule 2 not give inhaler to asthma patients til theyve tried aspirin for 3 months
https://t.co/aDP7nNukjG",cps special ed rule like hospital rule 2 not give inhaler to asthma patients
925460875292573696,@DjAbyss84 You mean asthma pump?,asthma pump
925936543801503744,"THEY SHOOTING OUTSIDE. 

I just had an asthma attack..

Ion care",asthma attack
924372088735064064,"Concussion last Friday, asthma attacks from Monday-Thursday. But Im here, Im still alive, God thank you.","asthma attacks from monday-thursday,concussion last friday"
927193553440296960,Phindi's pipes are on steroids today! Shuuu #IdolsSA https://t.co/4dE9RL3Mtr,"phindi's pipes,steroids today"
924521642335850497,Fully convinced my cat has asthma,cat has asthma
926125851028189184,"RT @_mvs_: My family blows mine. How I get an asthma attack at work &amp; the first thing my My aunt says is ""maybe you should stop smoking hoo","asthma attack at work,first thing"
924478193792442368,Contact with dogs could protect kids against eczema and asthma #AmericanCollegeOfAllergy #AsthmaAndImmunology https://t.co/6XYVGlEt3k,contact with dogs could protect kids against eczema and asthma
924480218726879232,Studies have shown children witn asthma are especially vulner ble to ozone,studies have shown children witn asthma are especially vulner ble
926812405186695168,@Lisa_Tempel try some diaphragm breathing to support your vocals &amp; try to learn some technical pointers on how to s https://t.co/tB6gF2FFRM,"diaphragm breathing to support your vocals,technical pointers"
927449761887633408,Literally as soon as we got into California my sinus started to get all F'd up and now that we are driving back to visalia it's just worse,california my sinus
923861302312820736,"""This is a great open access review of severe asthma - phenotypes and immunology https://t.co/v8IhFaCmYE""","great open access review of severe asthma,phenotypes and immunology"
925445981042290688,RT @ScottWeinerMD: Dr. Lucas Carlson presenting really cool data on geocoding pediatric asthma attacks. #ACEP17 @EMRES_MGHBWH ,lucas carlson presenting really cool data on geocoding pediatric asthma attacks
927023920099790848,@TJDillashaw man looks like hes been on sum steroids  no joke @danawhite @ufc,sum steroids no joke
927625871967494144,I wonder how many of us are gonna lose health insurance tomorrow cuz we didnt vote.... my kids asthma meds on... https://t.co/MrtWGPiaYB,"kids asthma meds,lose health insurance tomorrow"
926934096496005122,Now I have a sinus infection AND A double ear infection. SOMEONE PLZ HELP ME WHAT DRUGS CAN I TAKE PREGNANT SOS   ,"double ear infection,pregnant sos,sinus infection,someone plz"
927551710666641408,Anabolic androgenic steroids may be associated with early coronary artery disease https://t.co/iYIBj0jlpH,"anabolic androgenic steroids,early coronary artery disease"
926677459780616192,"What we need is more Americans with asthma &amp; other respiratory problems, &amp; also no heath care but lets charge for https://t.co/i94ZX81Oy0","more americans with asthma,other respiratory problems"
925890284138967040,fucking hell my geocache got an asthma attack in the middle of the night AAAAA why,fucking hell my geocache got an asthma attack
926162056784441344,Canada judge keeps brain dead man 'alive' after asthma attack. BBC  https://t.co/R92zar819p,canada judge keeps brain dead man 'alive' after asthma attack
927150715734282240,@HotlineJosh She worked through pneumonia you ridiculous ghoul,pneumonia you ridiculous ghoul
925734415271190528,I like my dudes with asthma  funniest thing Ibe heard,dudes with asthma funniest thing
926406993904128002,AstraZeneca shrugs off asthma drug setback as blood cancer medicine wins US approval - https://t.co/TLNgqj4rAN https://t.co/X29e15ijVy via,astrazeneca shrugs off asthma drug setback as blood cancer medicine wins us approval
925538920825176065,"Did you know chewing mints can help with weight loss, asthma and stress? Check out these health benefits of Mint... https://t.co/uCYyV1DCEe","asthma and stress,health benefits of mint,mints can help with weight loss"
925527160793845762,chest pains during/after an asthma while a panic attack are so fucking cruel,"asthma while a panic attack,chest pains,fucking cruel"
926778105720532993,"Thats if his sinus allergies, from living in that damp, moldy basement, dont get him first; sniff sniff https://t.co/YUeiCGySzl","moldy basement,sinus allergies,sniff sniff"
924540951460306944,I always joke about my asthma and laugh about it but man asthma attacks are no joke.,"asthma and laugh,man asthma attacks"
926039847021801472,Giggs rap's like he has bad asthma,giggs rap's like he has bad asthma
922937314954956800,@CortezBanks_ I was always out of shape growing up. First lap gave me an asthma attack. I use to run across the fie https://t.co/4X0wvqxM25,"asthma attack,first lap,shape growing"
927073601701994496,I shouldve stopped and picked up some sinus medicine ,sinus medicine
926397868860096513,I go to sleep at a decent hour tonight to only be woken up by an asthma attack. Why.,"asthma attack,decent hour tonight"
927664118869487616,Nearly 1M kids died from pneumonia in 2015. @savechildrenuks report shows how we can stop kids #FightingforBreath https://t.co/XKYEiegk6l,nearly 1m kids died from pneumonia
927528261143420928,House dust mites + spring pollen molecular profiles. Step to a correct immunotherapy prescription. #allergy https://t.co/Ry0n6Kzy6h,"correct immunotherapy prescription,house dust mites,spring pollen molecular profiles"
923770285765152768,"A stark begetting gone, asthma was ace of those atypical continuing illnesses that near progenitrix fair whispered astir, upstanding...","asthma was ace of those atypical continuing illnesses that near progenitrix fair,stark begetting"
925254815965310977,I really think I need to go to the hospital. I can't fucking breathe &amp; I don't know if it's my asthma but I feel like I'm gonna die ,
927033060721180672,Ugh I'm getting asthma I'm allergic to LA and warm weather,warm weather
927559909675167745,if only i didnt have this asthma ah hahahhaa,only i didnt have this asthma
926953877240508416,@musclecupcakes @donnabrazile @thedailybeast I will give you an excuse! The steroids are popping out of every vein https://t.co/H2HBAJSZhz,steroids are popping
927637593080164353,How do I get a sinus infection when I start a new job? Why does my body betray me like this?! I TAKE GOOD CARE OF YOU!!,"good care,new job,sinus infection"
924495223647961091,the asthma sure is hitting Hard on this night,asthma sure is hitting hard on this night
925390085603905536,"#genomics #ngs #sequencing Regeneron, Sanofi rack up a PhIII asthma win for dupilumab; Verastem preps FDA app for  https://t.co/hrzAkWU5Kt","phiii asthma win for dupilumab,sequencing regeneron,verastem preps fda app"
925833027166588928,"My mom once slapped me and I had an asthma attack, I woke up in hospital 

Never did she lay hands on me ever again","asthma attack,hospital never did she lay hands"
925660540910702594,RT @trisha_vinas: Halu asthma welcome back,halu asthma welcome back
926815941085851648,Yesterday I called my dr for my swollen inflamed ears asking for prescription ibuprofen and she gave me steroids and I was V HAPPY,swollen inflamed ears asking for prescription ibuprofen
926957603560869889,Schumer confessed he'd had pneumonia that week. Hillary now down on the ground.  Could it be we'd been hacked again https://t.co/fHPonYfghJ,schumer confessed he'd had pneumonia that week
924599839970725888,"@robgreen78 It is hereditary and the trio of eczema, asthma and hay fever are like the holy trinity, have one and y https://t.co/jbSJ71Ct4x","asthma and hay fever,holy trinity,trio of eczema"
925165886905909248,RT @_Gno17: I really hate my asthma,
926919359133466624,2/4  I choose courage and honor over relapse. My beautiful son has pneumonia due to his premature birth.,"beautiful son has pneumonia due to his premature birth,courage and honor"
927180664893575169,"@nyazamada the whole thing is just ""my asthma meds are dummy expensive and i need them to live Therefore birth cont https://t.co/nxH030o6az",whole thing
927653900764811266,Skirlaugh Bulls on steroids at age 13/14. All but @jackwray6 cos he's chiselled out of a breadstick. https://t.co/kXlGzCDVh9,skirlaugh bulls on steroids at age
927361950694236160,I swear my coworker loves to tell me shit I dont care about. Girl do I look like a give a damn about your man having pneumonia,"coworker loves,damn about your man having pneumonia"
927146868856856576,"Every time Im sick, I get reminded that I have asthma and its pretty fucking lit ",fucking lit
927189163589472257,"Well, this has been fun, an entire weekend battling a vicious sinus infection. https://t.co/906Ei2L3zt",entire weekend battling a vicious sinus infection
923872382397317121,RT @asthmauk: Worried about leaving your child with asthma in someone else's care this weekend? Top tips for parents: ,"child with asthma in someone else's care this weekend,top tips for parents"
925013541312253952,Having bad asthma + this weather.........no bueno,bad asthma
924558938837868544,"Medical News Today: Dogs may lower risk of childhood eczema, reduce asthma symptoms https://t.co/0MlcwKJqdu #health","asthma symptoms,lower risk of childhood eczema,medical news today"
923923426007543812,RT @Ismazorra: Use of benralizumab in pts. w severe eosinophilic asthma may help reduce the use of maintenance glucocorticoid therapy #ACAA,"benralizumab in pts,severe eosinophilic asthma may help reduce the use of maintenance glucocorticoid therapy"
926995485457395712,Can we just add being Korean as having an unfair advantage? It's like taking steroids if you're playing a MOBA or F https://t.co/XIIGlOc8Xl,"korean as having,steroids if you're playing,unfair advantage"
927644363143888896,this looks like holly on steroids https://t.co/Q9VFTd1HpK,
927560588968030208,Feels awkward not being at work today. But pneumonia will take a lot out of you. My energy level is very low. Jesus be a fence around me.,"energy level,work today"
926924107379220480,@HulkHogan @miriammorris_ it's steroids brother,steroids brother
927523392080793600,@SarahMthembu2 Its on steroids,
925830743065899008,"i was a few feet away from the players, i have asthma now",few feet away from the players
926833918094876672,septum piercing culture is sneezing continuously whenever u flip up ur piercing,septum piercing culture is sneezing
922881827760586752,????!!!!?!??!!?? My asthma is gone https://t.co/Dv7ZlbBWlL,
927483011150548993,"@Doctor_Terri @FDRLST Yes, non-steroid anti-inflammatories such as ibuprofen can make asthma symptoms worse.",non-steroid anti-inflammatories such as ibuprofen can make asthma symptoms worse
927183582782636034,"#SaveUsFromSmog it's really affect humans by  asthma , emphysema , chronic  bronchitis respiratory problems and eye irritation be safe ppl","bronchitis respiratory problems and eye irritation,saveusfromsmog it's really affect humans"
927456553556258816,im gna have an asthma attack i hate my friends,asthma attack
924874513233448960,RT @CoolJJessica: This game gave me asthma,game gave me asthma
927620857027006464,*notices ur sinus paranasales* OwO whats this..?,sinus paranasales
924748463052554240,"Probably someone having an asthma attack on the other end.
#Halloweek","other end,someone having an asthma attack"
923911227788718080,Dogs may protect against childhood eczema and asthma https://t.co/p2P58B3F9U | #health #medicalresearch #sciencedaily,protect against childhood eczema and asthma
926795501852229632,"RT @Sustain_Urban: First the Industrial Cities, then the Economic Cities, now this? #Dubai on steroids for the Red Sea. #Fantasy ","dubai on steroids for the red sea,economic cities,first the industrial cities"
924459681409585152,i think my asthma is getting bad cause i'm coughing worse. it gets bad most of the time in the fall &amp; winter time,"asthma is getting,bad cause i'm coughing,winter time"
927582616592748544,"RT @IRM_media: A #smartcity on steroids - What will it be like to live in Neom, Saudi Arabias $500bn digital oasis? ","digital oasis,saudi arabias,smartcity on steroids"
924726963553603590,Takeaway from Dr Teague on determinants of lung function declines in children and adolescents with severe asthma . https://t.co/U0uj6WVlw7,takeaway from dr teague on determinants of lung function declines in children and adolescents with severe asthma
925826444931903488,@pinksostuckup Lmfao nigga instantly had asthma after ,nigga instantly had asthma
927653005712863234,RT @MissLeshkee: Having a sinus headache for most of my day so far has not been fun! I hope everyone else has a fantastic Monday though!,"everyone else has a fantastic monday,sinus headache"
925535562840276998,he had an asthma attack before we took the picture https://t.co/ois5osDiB2,asthma attack
924457556981903360,Wow asthma great timing,great timing
927295825050505216,if u don't have asthma thank ur lucky stars because I have been SUFFERING all day,"asthma thank ur lucky stars,suffering all day"
925249360480391168,is it possibly to randomly get asthma at a grown age???? I deadass cannot breathe and I think Im gonna die,grown age
924329289729826817,I dont even have asthma but last nighhht i needed a fucking inhaler,fucking inhaler
926422619305529346,charting doesnt work for irregular cycles &amp; no mandate for asthma meds means doesnt mean there shouldnt be one f https://t.co/x0buNBzGrL,"mandate for asthma,work for irregular cycles"
927007689804341248,@angiecthomas Oof. I had a sinus infection w/clogged ears last month &amp; I couldn't even describe how awful it felt. https://t.co/4lZqJoVpsM,"clogged ears,sinus infection"
924398018299944960,@Refiilwe_ Get to the 4th floor and you have an asthma attack ,asthma attack
927649251890360320,My asthma says thanks. https://t.co/AmyeBgGrSr,asthma says thanks
927056830395830272,Cause if it's like when I'm having an asthma attack and like an insane pressure on your chest and like you know you're suffocating ~,"asthma attack,insane pressure on your chest"
927477025761148929,When the pengawas looks at your asthma inhaler like its a cheating contraption #SPM2017,pengawas looks at your asthma inhaler
925016487886295041,RT @indie_impimpi: Leadership tells students to not accept the release of fire extinguishers as there are students with asthma who it ,"leadership tells students,release of fire extinguishers,students with asthma"
926414924137533440,If you have a long term condition such as diabetes or asthma you are entitled to a free flu jab #StayWellThisWinter,"free flu jab,long term condition such as diabetes or asthma you are entitled"
924556558612041728,i fucking h88 asthma,
926978886520528896,I'm rly glad I'm on hella steroids that r supposed to help my asthma n I still feel like I'm suffocating,hella steroids
925005001499512833,"[Link]Dogs may lower risk of childhood eczema, reduce asthma symptoms - Credits: https://t.co/VauwJGMeJ4 #dog #dogs https://t.co/CBsM2AufBS","asthma symptoms,lower risk of childhood eczema"
925584590567174144,"RT @shawarmakabab8: 20171031 Owest
CLOCK &amp; BOTAN asthma https://t.co/4OvqSxkrOz",botan asthma
926707448789942272,"Mentol cigarette and couple sudafed actually got rid of my sinus headache, bless","mentol cigarette and couple,sinus headache"
923829373924462592,"Dogs may protect against childhood eczema and asthma - ""Good dog!"" Two studies being presented at the American ... https://t.co/4toDyaVoqt","good dog,protect against childhood eczema and asthma,studies being"
