tid,text
927038786382557184,RT @MrAliAdel: This isn't gonna mean a thing when they pop GSP for steroids next week lol #UFC217
926934570368462850,story time: a gif gave me an asthma attack?! https://t.co/rLgT7YTPWk
926511311701401605,"RT ForksOverKnives ""How a #plantbased diet reversed his asthma &amp; eczema: https://t.co/U6c9zlAdlM #vegan https://t.co/VP2tG6N71C"""
925481759575244801,adult onset of asthma https://t.co/ijVI4gMsZU
925953675377434624,AstraZeneca's experimental drug tralokinumab fails two late-stage asthma studies! https://t.co/paJhHicHzi
927024348841627648,This shit is like Scooby Doo on steroids #StrangerThings2
926785227216715779,Nonstop sneezing shits
927632071065063425,"My asthma pisses me off so much. Every time I start to improve my running endurance, my troubled breathing sets me back. #fuckoff "
927113317214285824,"@DuchessStoHelit Sneezing after nasal and sinus surgery, which is what I did the other day. Blood bath! "
927096353003659265,Same as fuck. I've been wanting to know if I still got asthma https://t.co/U9m25I6LTV
926331062262800384,@NEETAS11 @mukeshmukeshs I am suffering from asthma from 26y I hadn't option to leave India bcz every where in Indi https://t.co/8lQrMOtFum
925530516497096704,asthma attack laughing
926164842779734017,@rantramblepod @ForTheirVoice Half the state of Nebraska is open vats of pig waste and residents have asthma from i https://t.co/PSj5uB8XfS
923880047290830849,"Considered telling my family im not straight(I'm Bi), thought of possible outcomes...I have asthma now."
925756861957201920,"What to do in an asthma attack, including how to spot the warning signs and having a personal action plan: https://t.co/LoW0IPOkB2"
926745127325802496,Take your nebulizer anytime and anywhere. Enjoy breathing free. https://t.co/6jhObjiaXO
926510069109395456,The black preachers that sound like they are having an asthma attack when they wrapping it up  so real @Wm40A @PhenomBlak
927574464807800832,@R3NDA7 @Shindledecker54 Well someone is on steroids
926598212168716288,RT @WellnessTipero: Purchase an air purifier to eliminate many allergy and asthma symptoms. #allergy https://t.co/OKcSr64Jnv https://t.co/t
927171503581515776,RT @MiamiNewTimes: Studies have shown that performance-enhancing anabolic steroids can cause adverse health side effects to greyhounds. htt
926744014660997120,"RT @healhistamine: Here's four high histamine foods that can trigger allergy-like symptoms, and reasons why they're not a part of my... htt"
925166765025386496,RT @dlanniebrown: Had my first ever asthma attack today. Crazy!!!
927173752265347072,My neck hurt from sneezing so bad I can't even sleep right..I been up since 5am struggling
927596711186399233,Does Plexus work? Check out Roberts testimony! Enjoying great health no migraines or sinus infections!! https://t.co/HoYCMg2ax7
925563384115990528,Louis is not at sprinkles. I just ran 18 blocks with asthma to find this out.
924566571737141248,"Due to my cold/the weather change, my asthma has been off the charts and horrifying. Prayer would be much appreciated"
927367291322462208,casually having an asthma attack in the stairwell lolol
925755247015886848,"@KeefJudge A bigger fuck than I first thought - I'll get my coat 
My annual asthma appointment is a waste of their https://t.co/rgsXk4IzOh"
927325210864504833,Why are anabolic steroids illegal - Why is Their Use Prohibited https://t.co/9wgOFf2ioK
924852046930554880,On that asthma grind ya feel https://t.co/S8tiKUTvFJ
927225838315212800,I think all the steroids have weakened his brain. Bushes were worst leaders of all time. Political globalist when w https://t.co/2tUGl7ZkR6
926637972132315136,No sleep + fever + asthma + allergy hehe. But I gots to work bc so many oders grr.
925644383570890753,I think my dog just had an asthma attack help
923913876973928448,"you guys I scored an inhaler last night free of charge. no doctor visit, nothing. 
I'm so happy :)) no more 4 hour long asthma attacks "
925117531647553541,scorpios make me need an inhaler and i dont even have fucking asthma
925768637993984000,been struggling with asthma for days now 
925452009842577408,Understanding the mecanism of asthma and the solutions to cure it WATCH VIDEO -&gt; https://t.co/8sfxBItihZ https://t.co/wBfu5QtXnC
927208525595492352,Steroid-sparing agents are exciting! Mepolizumab improves clinical outcomes and  steroids in EGPA. Still hard to https://t.co/mYsdgU9sHA
927548434965508097,"Upsetting realizations: I've been awake for 6 hours already and it's not even 10

Also cool cool cool cough and sinus headache"
924313756192010240,@InfiniteRaiders How is the smog out there? I remember in Pak SQ could barely breathe with his asthma
925901465624940549,Fin fact: Weezer got it's name because Rivers Cuomo has asthma and was teased about it when he was a kid 
922735139528036352,Jerusalem cannabis guru to study effect of weed on asthma https://t.co/zGkZaioVmH
926076045547261952,"Tre melvin? Is it your turn? 

Qoukd u like to make some ""wise crack"" on my supposed asthma or unmatched clothing, https://t.co/ovPdvmlbDJ"
926280921271160833,"I can't fix my asthma by doing five minutes of stretches, but I can keep my body limber and my muscles functional. It does help."
924642220359278592,"RT @verronicaelena: my asthma is very bad atm and cant breathe so if i die in my sleep, know i wanted it that way hehe"
925230272601317376,This weather stresses me out w this asthma
927404643507953664,RT @allie989898: I started having a random asthma attack in church today and I think it was a subliminal message that I need to get my life
927424639919316992,RT @RocheStrategies: @JordanChariton @HillaryClinton @SenSanders Their argument is like arguing steroids in sports don't matter because 
926839836090171392,why do i keep sneezing
924746358237495296,RT @Aidan_Jeffery: If the brother takes you on a date &amp; suddenly changes to his husky voice...cast the brothers asthma attack out Ps @At
927464278696779776,@Hope #hopeepilepsybracelet be brave breast cancer epilepsy asthma Hope Ribbon Bracelet wholesale bulk  https://t.co/bQU8Uj2rCH via @eBay
926130659135053825,Obese children may have more asthma complications https://t.co/D6OytynDky
927044130584264704,@JonnyBones Take these 4 yrs off to hop on even more steroids (untested) &amp; come back like GSP did. Just dont spend https://t.co/5ELJPErxQO
923777117518675968,".@DrSarahDalton talks about the need rethink x-rays for diagnosing bronchiolitis, asthma &amp; non-specific abdominal p https://t.co/lyOqQJZ72v"
926905606761533440,@The_Vonnster No sick lol I keep sneezing
927340016778600448,@ericgarland DB would have tossed out FDR and JFK? HRC battles pneumonia and Donna Brazile thinks about replacing h https://t.co/KJzRs3owXs
922899165721407489,This heat has me on full asthma attack mode
924781128439025664,@Galactic_Jax @kyblsnbits I don't think that's how asthma works xD
925908029694005249,why is my asthma acting up 
927592109171003393,They being patients and colleagues at work !!! Although I cant wine  as Im on antibiotics due to a sinus infecti https://t.co/axukyySLdI
925119333235171328,@getnsentimental Ninten has asthma
924397412168486913,My bby has asthma and it sucks when he has an episode at night it's honestly the scariest thing to me
925597088733425664,I heard of a guy who died of a sudden asthma attack
927241019049041921,They will say we are attacking Conte. See am now. Changed formation and Morata was playing as if he was on steroids
926631895105810432,"
I mean, really, how is such a thing possible???  (and that person should research childhood asthma in central CA) https://t.co/gZq31khVBl"
927511063003885568,@GaelleFarah1 my mom has asthma 
925898068490321920,Then I had a panic attack pls asthma attack the other day. Like worse feeling ever 
922918855315353600,@DeadZombie_girl Hope he feels better soon. I have asthma too. It sux
927595832639131648,Being an only born has its cons though ey....the IDGAF attitude be on steroids eish....I feel bad sometimes
926807668471107584,RT @iamgreekdiva: @catskilldelta1 @WakeUpCanada1 @TorontoStar I'm Canadian and support Trump ..we have Obama White on steroids pretty 
925648814064750593,"The flu jab is free if you have asthma which requires an inhaled or tablet steroid treatment, or has led to hospita https://t.co/dS4RehYYEz"
925462959249174528,Pollution takes heavy toll on Bay Area children with asthma  The Mercury News https://t.co/1jLW5q2EnH
924034675345121281,"Anti-science @theAGU climate scam propaganda tries to sell CO2-induced asthma and ""mental health implications"" https://t.co/MjQbTzF1Iv"
927597331498889217,Last night I had a dream I took a bunch of steroids and cut off all my hair
927443499921928192,Daisuke Murakami pulls out of NHK Trophy with pneumonia https://t.co/1dkyFbv04x
924670626668802048,also also me: I carry a mask bc sometimes even small amounts of fragrance or chemicals gives me a headache and asthma attacks.
926627011283619842,@Momof3gngrs @rjsmith169 @Pamela_O_Plays @auxwit AFAIK asthma is still an auto fail. If you develop it after youre https://t.co/cdJwMOuiOk
927476444321796096,#Virginia go out &amp; vote. Dems unite and defeat this Southern Strategy on steroids GOP.  #VAGov #GOPHypocrisy https://t.co/HFhsc9tgpY
926108952957538305,When you find out the reason your asthma isnt getting better is because your inhalers were out of date 
924646575535636481,...and suddenly i have asthma https://t.co/h2f1uibv91
923741832110014465,@Sweet_Nessss My asthma
924487824480534529,Damn near had an asthma attack at PV in that air. Glad I made it home to this medicine in time tho.
927017933976502277,Why pneumonia kills more children in Nigeria than in any other country in Africa  Expert https://t.co/2QitQuwrVX
923927532168196097,"Staten Island teen dies from asthma fleeing racist crew waving gun; Im gonna shoot you, n-----! -... https://t.co/3RHZA5hF2r"
927238330537914369,@DiMurphyMN Unprovoked asthma attacks due to elevated particulates in the air are good for the economy. Heres a st https://t.co/z6VMeUWovk
927070477075525632,Complaint that kids' study on vitamin D and asthma is 'unethical' leads to changes https://t.co/7r75UM5WIS
925135330096840704,RT @NoMoreAsthma: Efforts against asthma to decrease dust mites have been found to be ineffective.
926972125210202112,"Sir stop with the steroids your brain is melting
https://t.co/xSmKmS63A5"
927675715109101568,"CPS special ed rule like hospital rule 2 not give inhaler to asthma patients til theyve tried aspirin for 3 months
https://t.co/aDP7nNukjG"
925460875292573696,@DjAbyss84 You mean asthma pump?
925936543801503744,"THEY SHOOTING OUTSIDE. 

I just had an asthma attack..

Ion care"
924372088735064064,"Concussion last Friday, asthma attacks from Monday-Thursday. But Im here, Im still alive, God thank you."
927193553440296960,Phindi's pipes are on steroids today! Shuuu #IdolsSA https://t.co/4dE9RL3Mtr
924521642335850497,Fully convinced my cat has asthma
926125851028189184,"RT @_mvs_: My family blows mine. How I get an asthma attack at work &amp; the first thing my My aunt says is ""maybe you should stop smoking hoo"
924478193792442368,Contact with dogs could protect kids against eczema and asthma #AmericanCollegeOfAllergy #AsthmaAndImmunology https://t.co/6XYVGlEt3k
924480218726879232,Studies have shown children witn asthma are especially vulner ble to ozone
926812405186695168,@Lisa_Tempel try some diaphragm breathing to support your vocals &amp; try to learn some technical pointers on how to s https://t.co/tB6gF2FFRM
927449761887633408,Literally as soon as we got into California my sinus started to get all F'd up and now that we are driving back to visalia it's just worse
923861302312820736,"""This is a great open access review of severe asthma - phenotypes and immunology https://t.co/v8IhFaCmYE"""
925445981042290688,RT @ScottWeinerMD: Dr. Lucas Carlson presenting really cool data on geocoding pediatric asthma attacks. #ACEP17 @EMRES_MGHBWH 
927023920099790848,@TJDillashaw man looks like hes been on sum steroids  no joke @danawhite @ufc
927625871967494144,I wonder how many of us are gonna lose health insurance tomorrow cuz we didnt vote.... my kids asthma meds on... https://t.co/MrtWGPiaYB
926934096496005122,Now I have a sinus infection AND A double ear infection. SOMEONE PLZ HELP ME WHAT DRUGS CAN I TAKE PREGNANT SOS   
927551710666641408,Anabolic androgenic steroids may be associated with early coronary artery disease https://t.co/iYIBj0jlpH
926677459780616192,"What we need is more Americans with asthma &amp; other respiratory problems, &amp; also no heath care but lets charge for https://t.co/i94ZX81Oy0"
925890284138967040,fucking hell my geocache got an asthma attack in the middle of the night AAAAA why
926162056784441344,Canada judge keeps brain dead man 'alive' after asthma attack. BBC  https://t.co/R92zar819p
927150715734282240,@HotlineJosh She worked through pneumonia you ridiculous ghoul
925734415271190528,I like my dudes with asthma  funniest thing Ibe heard
926406993904128002,AstraZeneca shrugs off asthma drug setback as blood cancer medicine wins US approval - https://t.co/TLNgqj4rAN https://t.co/X29e15ijVy via
925538920825176065,"Did you know chewing mints can help with weight loss, asthma and stress? Check out these health benefits of Mint... https://t.co/uCYyV1DCEe"
925527160793845762,chest pains during/after an asthma while a panic attack are so fucking cruel
926778105720532993,"Thats if his sinus allergies, from living in that damp, moldy basement, dont get him first; sniff sniff https://t.co/YUeiCGySzl"
924540951460306944,I always joke about my asthma and laugh about it but man asthma attacks are no joke.
926039847021801472,Giggs rap's like he has bad asthma
922937314954956800,@CortezBanks_ I was always out of shape growing up. First lap gave me an asthma attack. I use to run across the fie https://t.co/4X0wvqxM25
927073601701994496,I shouldve stopped and picked up some sinus medicine 
926397868860096513,I go to sleep at a decent hour tonight to only be woken up by an asthma attack. Why.
927664118869487616,Nearly 1M kids died from pneumonia in 2015. @savechildrenuks report shows how we can stop kids #FightingforBreath https://t.co/XKYEiegk6l
927528261143420928,House dust mites + spring pollen molecular profiles. Step to a correct immunotherapy prescription. #allergy https://t.co/Ry0n6Kzy6h
923770285765152768,"A stark begetting gone, asthma was ace of those atypical continuing illnesses that near progenitrix fair whispered astir, upstanding..."
925254815965310977,I really think I need to go to the hospital. I can't fucking breathe &amp; I don't know if it's my asthma but I feel like I'm gonna die 
927033060721180672,Ugh I'm getting asthma I'm allergic to LA and warm weather
927559909675167745,if only i didnt have this asthma ah hahahhaa
926953877240508416,@musclecupcakes @donnabrazile @thedailybeast I will give you an excuse! The steroids are popping out of every vein https://t.co/H2HBAJSZhz
927637593080164353,How do I get a sinus infection when I start a new job? Why does my body betray me like this?! I TAKE GOOD CARE OF YOU!!
924495223647961091,the asthma sure is hitting Hard on this night
925390085603905536,"#genomics #ngs #sequencing Regeneron, Sanofi rack up a PhIII asthma win for dupilumab; Verastem preps FDA app for  https://t.co/hrzAkWU5Kt"
925833027166588928,"My mom once slapped me and I had an asthma attack, I woke up in hospital 

Never did she lay hands on me ever again"
925660540910702594,RT @trisha_vinas: Halu asthma welcome back
926815941085851648,Yesterday I called my dr for my swollen inflamed ears asking for prescription ibuprofen and she gave me steroids and I was V HAPPY
926957603560869889,Schumer confessed he'd had pneumonia that week. Hillary now down on the ground.  Could it be we'd been hacked again https://t.co/fHPonYfghJ
924599839970725888,"@robgreen78 It is hereditary and the trio of eczema, asthma and hay fever are like the holy trinity, have one and y https://t.co/jbSJ71Ct4x"
925165886905909248,RT @_Gno17: I really hate my asthma
926919359133466624,2/4  I choose courage and honor over relapse. My beautiful son has pneumonia due to his premature birth.
927180664893575169,"@nyazamada the whole thing is just ""my asthma meds are dummy expensive and i need them to live Therefore birth cont https://t.co/nxH030o6az"
927653900764811266,Skirlaugh Bulls on steroids at age 13/14. All but @jackwray6 cos he's chiselled out of a breadstick. https://t.co/kXlGzCDVh9
927361950694236160,I swear my coworker loves to tell me shit I dont care about. Girl do I look like a give a damn about your man having pneumonia
927146868856856576,"Every time Im sick, I get reminded that I have asthma and its pretty fucking lit "
927189163589472257,"Well, this has been fun, an entire weekend battling a vicious sinus infection. https://t.co/906Ei2L3zt"
923872382397317121,RT @asthmauk: Worried about leaving your child with asthma in someone else's care this weekend? Top tips for parents: 
925013541312253952,Having bad asthma + this weather.........no bueno
924558938837868544,"Medical News Today: Dogs may lower risk of childhood eczema, reduce asthma symptoms https://t.co/0MlcwKJqdu #health"
923923426007543812,RT @Ismazorra: Use of benralizumab in pts. w severe eosinophilic asthma may help reduce the use of maintenance glucocorticoid therapy #ACAA
926995485457395712,Can we just add being Korean as having an unfair advantage? It's like taking steroids if you're playing a MOBA or F https://t.co/XIIGlOc8Xl
927644363143888896,this looks like holly on steroids https://t.co/Q9VFTd1HpK
927560588968030208,Feels awkward not being at work today. But pneumonia will take a lot out of you. My energy level is very low. Jesus be a fence around me.
926924107379220480,@HulkHogan @miriammorris_ it's steroids brother
927523392080793600,@SarahMthembu2 Its on steroids
925830743065899008,"i was a few feet away from the players, i have asthma now"
926833918094876672,septum piercing culture is sneezing continuously whenever u flip up ur piercing
922881827760586752,????!!!!?!??!!?? My asthma is gone https://t.co/Dv7ZlbBWlL
927483011150548993,"@Doctor_Terri @FDRLST Yes, non-steroid anti-inflammatories such as ibuprofen can make asthma symptoms worse."
927183582782636034,"#SaveUsFromSmog it's really affect humans by  asthma , emphysema , chronic  bronchitis respiratory problems and eye irritation be safe ppl"
927456553556258816,im gna have an asthma attack i hate my friends
924874513233448960,RT @CoolJJessica: This game gave me asthma
927620857027006464,*notices ur sinus paranasales* OwO whats this..?
924748463052554240,"Probably someone having an asthma attack on the other end.
#Halloweek"
923911227788718080,Dogs may protect against childhood eczema and asthma https://t.co/p2P58B3F9U | #health #medicalresearch #sciencedaily
926795501852229632,"RT @Sustain_Urban: First the Industrial Cities, then the Economic Cities, now this? #Dubai on steroids for the Red Sea. #Fantasy "
924459681409585152,i think my asthma is getting bad cause i'm coughing worse. it gets bad most of the time in the fall &amp; winter time
927582616592748544,"RT @IRM_media: A #smartcity on steroids - What will it be like to live in Neom, Saudi Arabias $500bn digital oasis? "
924726963553603590,Takeaway from Dr Teague on determinants of lung function declines in children and adolescents with severe asthma . https://t.co/U0uj6WVlw7
925826444931903488,@pinksostuckup Lmfao nigga instantly had asthma after 
927653005712863234,RT @MissLeshkee: Having a sinus headache for most of my day so far has not been fun! I hope everyone else has a fantastic Monday though!
925535562840276998,he had an asthma attack before we took the picture https://t.co/ois5osDiB2
924457556981903360,Wow asthma great timing
927295825050505216,if u don't have asthma thank ur lucky stars because I have been SUFFERING all day
925249360480391168,is it possibly to randomly get asthma at a grown age???? I deadass cannot breathe and I think Im gonna die
924329289729826817,I dont even have asthma but last nighhht i needed a fucking inhaler
926422619305529346,charting doesnt work for irregular cycles &amp; no mandate for asthma meds means doesnt mean there shouldnt be one f https://t.co/x0buNBzGrL
927007689804341248,@angiecthomas Oof. I had a sinus infection w/clogged ears last month &amp; I couldn't even describe how awful it felt. https://t.co/4lZqJoVpsM
924398018299944960,@Refiilwe_ Get to the 4th floor and you have an asthma attack 
927649251890360320,My asthma says thanks. https://t.co/AmyeBgGrSr
927056830395830272,Cause if it's like when I'm having an asthma attack and like an insane pressure on your chest and like you know you're suffocating ~
927477025761148929,When the pengawas looks at your asthma inhaler like its a cheating contraption #SPM2017
925016487886295041,RT @indie_impimpi: Leadership tells students to not accept the release of fire extinguishers as there are students with asthma who it 
926414924137533440,If you have a long term condition such as diabetes or asthma you are entitled to a free flu jab #StayWellThisWinter
924556558612041728,i fucking h88 asthma
926978886520528896,I'm rly glad I'm on hella steroids that r supposed to help my asthma n I still feel like I'm suffocating
925005001499512833,"[Link]Dogs may lower risk of childhood eczema, reduce asthma symptoms - Credits: https://t.co/VauwJGMeJ4 #dog #dogs https://t.co/CBsM2AufBS"
925584590567174144,"RT @shawarmakabab8: 20171031 Owest
CLOCK &amp; BOTAN asthma https://t.co/4OvqSxkrOz"
926707448789942272,"Mentol cigarette and couple sudafed actually got rid of my sinus headache, bless"
923829373924462592,"Dogs may protect against childhood eczema and asthma - ""Good dog!"" Two studies being presented at the American ... https://t.co/4toDyaVoqt"
927037109701144576,Too bad I have to sleep with my little chunks because she's having trouble breathing  gotta sneak some nebulizer time in while she's sleepn
927013746349871104,And Jonathan last season. Billy hopped up on steroids or something tho. Something is off with that nigga. https://t.co/93jDGnERkG
924356873729355776,Occupational exposure and asthma control. https://t.co/jrDPvFLUbE
925698483159535616,@Pirate_Life_ A Dr told me that he wouldnt diag asthma 4 my wheezing kid cos it would stick with my child 4rest https://t.co/6Qj9uAoE1F
924847608589303808,My asthma is acting up for the first time in a long time and I'm probably not gonna sleeo much bc idk where my inhaler is fml
926877095451680774,"@bigrare_ And while Lg diaphragm Condenser mics are usually super expensive, Audio Technica AT2020 starts at $99, a https://t.co/MuECLHTIah"
926039277259182080,Very important to make sure people with asthma are aware of this so they can prepare if they think they are about t https://t.co/4TpYnoJIV9
927383379250577408,@heynikkipoo Good to hear. I wish the pneumonia complication recedes.
926884423752175616,Anabolic androgenic steroids may be associated with early coronary artery disease https://t.co/Vt6p6BPLt5
923980961825656832,This happened to one of my group members - I though people had moved on from using the diagnoses asthma and copd https://t.co/hTCID1d5y8
924686420513505280,Just when we think we got Xavier's asthma under control we're back at square 1
926919564147023872,"@SolicitousPhoto &lt; catch pneumonia and die."" She'd snort glancing over her shoulder at him. ""Being the first child and all, she didn't &gt;"
926271372254416896,"@OliverWicks this happened to me not with sneezing but with using an asthma puffer,,,,,,"
927490972228886528, orz RT jt_sports: Daisuke Murakami pulls out of NHK Trophy with pneumonia https://t.co/69PCKvBNhQ
922943273680871424,@CanidaDry Imma go tomorrow. Had to get my seasonal asthma under control this morning
926745467689484294,@JuicyJu11 @LulamaLewis Mrs Waldecks class on steroids
926938093998948353,Anabolic androgenic steroids may be associated with early coronary artery disease https://t.co/816ynSISI4
927415634786271232,yes i love having asthma and not being able to breath as soon as i lay down and get comfortable 
926834828321816579,"RT @faizaMalic: #PrecautionsAgainstSmog

If you suffer from asthma, exposure to high levels of ozone from smog can trigger asthma attacks."
927193465145970688,@DrJenGunter @MDaware Maybe she should be advocating for universal coverage of asthma medication instead.
927554863210336256,New asthma clinical trial: Nebulized Heparin and Salbutamol in Mechanically Ventilated Patients With AECOPD https://t.co/Dnp0aCx26R
923885208579051520,#Medicalnet  Dogs may protect children from allergic eczema and asthma https://t.co/enD88GENf4
924514246758686721,Towards safer oral immunotherapy for food allergy and allergic asthma is still increasing in prevalence. https://t.co/lBWaY0J7il
927332070954864640,@_LoveeCandy Girl gone have  pneumonia 
926089421987950593,"@ThatBloke_Jesus After an asthma attack I went 2c a doctor&amp; he look @me &amp; said""TAKE THY CART&amp; GO, 4THY FAITH HAS HE https://t.co/5An7QXnXQC"
926664531585261568,"RT @FierceHealthIT: Yesterday, @Nemours launched a new asthma app, which sets the stage for a long-term digital consolidation https://t.co/"
924801871121809408,Im pretty happy about the PSA I wrote for indoor asthma triggers in children. Its super depressing. God I love my major. #publichealth
925205787705823232,"Like, they keep emailing asking why Im not responding everyday. Bitch, because my asthma got me on 2 steroids and constant treatments."
927590969507270657,"More than 10 asthma patients visits civil hospital regularly, due to stubbleburning https://t.co/SnhiRgiAQx https://t.co/lN8B9XQNbG"
926858156994469888,@aaronlinde sneezing is your soul trying to escape. Penny knows what's up. She saved you.
926380740194992128,@bingojackson Thanks . Yes it's for asthma op.
927044790704799744,"@jedigoodman Silva is old, washed up and without steroids  would get destroyed by gsp imo"
924433471216410627,RT @stephaniehikaru: Blunt blowin got asthma so I guess Im lil weezy https://t.co/SDE4ODvmuw
925677143282950144,"@realDonaldTrump Coal kills and causes illnesses like asthma &amp; lung cancer, but u don't care about that, do u? U ju https://t.co/DgxBnRswon"
924687955498881024,"@sigridellis I think the lack of asthma meds would kill me faster than the lack of pain meds, but yeah."
925921954640510978,"Guess where we are... Again! Good old Emerg people. We went from cold, asthma attack, flu, https://t.co/fVrZVMnic5"
926991283041787909,@karenintulsa Yes that too. Drives me nuts when people say that. Or youll get pneumonia for going to bed with wet hair. SMH...
922629875550380032,"Liz Beck is like a little chemical fairy bringing cancer and asthma to a town near you. Thanks @chrislhayes, read https://t.co/bJH5FCK7vq"
924513322312929280,"now is not the time to have an asthma attack, if you dont breathe correctly, Ill make you breathe correctly"
927684111766081536,RT @spoopy_handle: Im on nebulizer treatments &amp; Prednisone for my asthma. Making me super jittery. Hard to sleep. 
927558751393144833,@nictardanico21 @usafootball Ayy You want them steroids I been trying to call you for them but you havent been pic https://t.co/2WiWg12asK
926376599150145536,Damn these asthma attacks
926789162333642752,@RonLPitts He borrowed some of Manchelle's steroids
927245606766153728,You only say that cuz your terrible asthma and sinuses can't handle seasoned food https://t.co/cPl4D0BW7k
926244688079802368,"@AsthmaIreland Just out of hospital after bad asthma attack, could really use this for my house. #competition"
927187071890067456,@Laverne_jpg Man's got asthma
927014137254825984,RT @YoungCurryPowda: I got asthma at 25 https://t.co/zaC2RYPlBc
925267653781962757,"RT @asthmauk: Everyone needs to know what to do if a child has an asthma attack.
Please RT.
https://t.co/mN5FUjgAwF "
925246127733014529,I should've listened to my body before now I have to deal with my asthma and bronchitis again  zayum
925856215867035648,I literally cannot breathe I got asthma from laughing this is karma as its finest
926890776398876672,@HotlineJosh Good goddess. The woman is flat out nuts. Thinks she's all-powerful did she? Hillary had pneumonia ffs https://t.co/r5FXQmoXRK
922909625913151489,"@rondamclay Och I know, I just worry...it's his asthma y'see......"
927677890287763456,@RoyaIBlood @knightbomber_98 Sadly my dad has asthma and would die if he smoked anything
926649918567206912,I conked out so early! Was having the best sleep in the world! Thank you God....then I just woke up 2 my daughter having an asthma attack 
923858149303635969,Functional phenotypes determined by fluctuation-based clustering of lung function measurements in health &amp; asthma https://t.co/D9GFGBqEMR
924747864105943040,So Ive either been having an asthma attack for 4 hours or I have a chest infection. Wonderful. Goodnight.
924778951398121472,my sister just called me dog a thirsty hoe and i laughed so hard it gave me an asthma attack 
923756600183197696,RT @MissJupiter1957: @NassimBnchabane There's never been any explanation of why #CedricDunn had no asthma inhaler in the jail w/ the rec 
922852117047635973,RT @iFranky_1: @willielump_ @CallMe_JP nigga said stop it I got asthma 
927273467438927873,in elementary school almost everyone in my class had asthma and i used to wish i had it so i would have an inhaler
926814601953599490,My sinus going crazy
924772871079067648,RT @TOIStartup: Jerusalem cannabis guru to study effect of weed on asthma https://t.co/X44IGr1uEB
925378017228218368,I was asthmatic when young so in 2002 I had one of the worst attack in my entire asthma illness &amp; had six injections buy non worked.
927005594178826240,RT @queermutt: i either have bronchitis or pneumonia but my girl still kisses me on the lips she is too good to me im crying
926898588269121536,@bakedbylou Loved it - it's like a caramel hot chocolate on steroids 
925671030454067200,AstraZeneca asthma drug tralokinumab disappoints again https://t.co/sNKx6f6PwM #news
926652737357361153,Read Q &amp; a series asthma by Paula brisco. To Read https://t.co/4gXLkQ3PO5 #WhatToRead
